application_id,applicant_id,application_date,age,state,employment_status,years_employed,annual_income,monthly_housing_cost,product,requested_amount,term_months,purpose,interest_rate_offered,credit_score,revolving_utilization,open_trades,delinquencies_24m,inquiries_6m,bankruptcies_7y,oldest_trade_months,dti,pti,ltv,outcome,default_within_12m,lgd,ead
197769dc-ce65-a7c1-1ce6-4ecca03d275b,77c47b43-4ef4-ee38-662a-60ea20b8dc71,2024-10-10,23,TN,unemployed,0.0,28646.79,795.45,mortgage,746916.17,360,medical,18.21,522,0.106,17,1,2,0,90,2.0,4.769,0.819,charged_off,1,0.638,627922.24
53f95e30-2dae-6e41-29eb-ea70b3321ce5,48ac3b80-f7eb-654a-119b-7246eb974b9a,2025-07-08,66,GA,employed,16.0,56131.19,1384.78,personal_loan,20746.6,36,auto,14.16,662,0.489,6,0,1,0,444,0.2404,0.1519,,current,0,,
4eb91e73-4240-ccca-71f3-f8d301f74895,4833815f-707b-f678-07e2-58d21c5b3c03,2025-04-10,59,SD,employed,14.8,25740.04,680.19,mortgage,254792.22,240,debt_consolidation,12.22,586,0.247,4,2,0,0,348,1.6043,1.3262,0.937,default,1,0.449,249578.32
4d209480-f54d-9a59-58e6-7354498c9381,37273c7f-5c26-9b37-31f3-fea827ae316d,2024-03-01,45,AL,student,0.0,23870.47,458.86,mortgage,278200.83,240,debt_consolidation,27.18,535,0.182,1,2,1,0,280,2.0,3.1825,0.968,default,1,0.511,237481.58
2ec8cfe4-386e-4337-1472-4f632d24f82c,36c29a57-fed9-8506-23d1-55f00a1556fd,2025-02-21,45,SC,self_employed,10.6,164233.2,3660.04,personal_loan,14060.55,36,home_improvement,6.56,761,0.348,21,0,1,0,269,0.1119,0.0315,,paid,0,,
2908e607-ebab-6a10-7b6d-9d24246740d7,57c94ac7-929b-4839-6ba4-117c66737c00,2025-03-18,72,SC,self_employed,25.6,34213.52,837.59,personal_loan,3233.22,24,debt_consolidation,16.05,650,0.319,5,1,2,0,520,0.2849,0.0556,,current,0,,
4f9783f4-40db-c417-2385-7bff1f6ac0bf,625ec3ca-d102-4cf4-505a-2e40b569c57e,2023-01-06,23,SC,employed,0.8,88177.35,2479.52,auto,26105.44,36,medical,16.17,628,0.801,14,1,4,0,53,0.2944,0.1252,0.576,paid,0,,
39b7976a-dd3a-3637-6af2-175992e94ca6,44e87b7d-8db1-59ba-03fa-9100475b18dc,2025-06-26,61,ND,employed,18.2,59415.54,1249.9,personal_loan,2340.72,24,business,13.41,585,0.252,11,2,1,0,541,0.258,0.0226,,current,0,,
558f8f15-b38d-af04-47c3-78e7abaee30b,5c8919ec-c62e-f95d-45c2-003f2f0d36d7,2025-06-07,30,MS,employed,0.0,52379.55,1381.43,personal_loan,5566.05,36,other,13.61,656,0.211,4,1,2,0,153,0.2464,0.0433,,current,0,,
714d0463-6347-dad8-5612-7ff99a8a441e,22a7a48b-249e-0efa-29f6-ba5990933ef4,2023-03-19,23,OK,unemployed,0.0,13641.96,297.16,sm_business,55861.87,24,auto,29.37,579,0.25,10,0,1,0,92,2.0,2.7315,,charged_off,1,0.508,32739.82
5244f7c2-f512-e6d7-184a-52839250c4ab,77c1f692-e6cf-14c2-4feb-1a1fd15c32cd,2024-05-08,51,IN,employed,8.2,50972.89,1154.42,sm_business,120539.26,84,other,12.95,606,0.584,2,0,2,0,364,0.703,0.5155,,current,0,,
0d9e24f5-19f5-6d58-7b89-c6e2607a503a,3ceab2db-4e91-b10e-4f7a-5d12b626087b,2025-11-14,79,SC,employed,17.9,144860.22,4081.03,mortgage,180469.43,360,other,6.54,741,0.097,4,0,2,0,600,0.2581,0.0949,1.014,paid,0,,
4ca7641d-4229-1b97-3535-1d2be3089c4f,34f5822d-6467-3da6-3c2e-eec7486f25e8,2024-09-22,64,NV,employed,13.3,91122.53,1066.78,personal_loan,8774.05,24,other,13.84,606,0.524,3,0,1,0,452,0.345,0.0554,,paid,0,,
4b6508c5-3c79-7e9c-07e9-744fa6fe89f0,2528da8d-a48b-b279-384d-1cea8a1529b6,2024-04-22,65,MN,employed,15.9,178308.66,2812.03,auto,44250.28,60,auto,5.92,781,0.397,20,0,1,0,388,0.2955,0.0575,0.852,current,0,,
693b776d-48ac-ca52-1bbb-0a79095f89ed,57c17c7c-5b31-c177-051c-d126fe2a5893,2025-03-29,63,MT,employed,20.1,139955.04,2055.55,mortgage,200572.04,360,home_improvement,10.29,710,0.527,14,0,2,0,442,0.4078,0.1546,0.821,paid,0,,
66fb5d10-a1a9-ba65-4466-8348c096b595,65c37544-e15d-37cf-2438-ac70b7dd1689,2024-05-10,67,NH,retired,12.7,83449.56,811.18,personal_loan,33167.11,24,other,16.6,646,0.344,23,0,1,0,522,0.3484,0.2349,,paid,0,,
2366b634-d297-fb99-03dd-eb69db55764b,575e1e8b-2db5-8548-5244-d2b76e5b7ac5,2024-01-21,50,AK,self_employed,11.3,167487.5,3245.37,auto,37192.75,48,home_improvement,9.01,688,0.517,10,0,2,0,281,0.1418,0.0663,0.873,paid,0,,
686d3a36-0e8e-5a20-1696-3ef4544016df,538950df-c1d0-e4ea-4dd7-2b1789094e01,2025-04-01,26,CT,self_employed,0.0,68971.33,1910.85,personal_loan,14524.85,24,auto,25.14,570,0.541,5,1,0,0,73,0.2583,0.1351,,default,1,0.667,10402.16
06a18cce-b829-1f4e-60c0-99fad5ff2870,7ac3d95a-0564-db80-4111-6be8f1d189fc,2023-07-26,70,IL,employed,17.9,111735.92,2421.49,personal_loan,25024.07,36,debt_consolidation,11.52,723,0.211,15,0,3,0,492,0.2065,0.0886,,paid,0,,
2cce3760-23a2-99c2-31d5-b25a9e500cbc,5dbca1fd-afe1-e2bc-5a4c-29e7519c4e07,2024-08-23,46,CO,employed,13.6,56437.32,1381.99,auto,37137.4,48,business,14.52,649,0.098,23,0,1,0,340,0.4764,0.2178,0.923,current,0,,
1f9fe923-a2db-2f37-6df9-8f75b710fe5a,1e3e0416-c1fe-96df-2443-5da109604ec9,2023-02-11,49,MI,employed,13.0,68295.57,2027.5,personal_loan,7699.77,24,medical,10.0,671,0.525,13,0,0,0,340,0.34,0.0624,,current,0,,
260ee4d7-61a1-4258-1ae7-971278af30cf,36463138-c3b6-3c5b-238b-9b14c0d09b33,2025-09-26,41,ND,employed,12.9,44797.92,1392.24,personal_loan,11505.99,36,debt_consolidation,12.1,628,0.497,0,0,2,0,256,0.267,0.1025,,current,0,,
27957eba-7493-261c-1a00-ce26c5275e33,2ef17017-f80c-1e08-320a-ff556c4ed984,2025-01-10,29,NC,employed,2.2,96497.38,2212.69,mortgage,285868.02,180,home_improvement,10.58,642,0.401,7,0,1,0,135,0.7178,0.3947,0.925,current,0,,
28a8ed20-618a-0831-0a9d-a7766fb06726,4d4b6f16-38c7-7036-1c25-5b5f21ae5328,2023-11-03,76,MS,employed,18.8,37568.94,1173.25,sm_business,115504.82,24,medical,16.32,630,0.058,23,0,1,0,579,2.0,1.8121,,charged_off,1,0.412,58704.82
144ab645-4041-9732-3561-fd2771c95680,66f3092e-3089-531b-3801-30fb92824456,2023-04-27,67,TX,employed,17.1,107666.38,2570.08,auto,30615.67,48,medical,6.0,778,0.44,12,0,1,0,498,0.2844,0.0801,0.598,current,0,,
70925eb3-5655-2aab-0755-4d9dc48fc0b0,5a663501-5607-ed24-0a6c-b50cb79aa389,2025-05-03,58,NH,employed,15.4,61460.01,1133.85,mortgage,368402.02,240,business,13.96,587,0.175,23,1,1,0,353,0.9902,0.8924,0.637,current,0,,
1b38ecbf-1c40-9cf8-7444-abccf503f42c,3c27d377-0209-38d0-039c-b297e7af8d56,2023-01-23,43,AR,employed,9.1,118265.33,2349.46,sm_business,53014.42,24,home_improvement,9.12,715,0.55,12,0,0,0,163,0.5835,0.246,,paid,0,,
71ec0037-3d0d-0641-56f8-3eb21f7d712d,568437f6-f198-e731-2bfe-b11a0107f83a,2025-06-03,69,RI,employed,14.5,101770.74,1495.71,personal_loan,12278.14,60,other,7.4,729,0.804,0,0,1,0,516,0.2028,0.0289,,current,0,,
1ec7d661-322a-e5b9-35bc-5a3b20005d52,79811dc0-1c39-64c3-297c-e6fac7031abf,2024-10-02,52,NH,employed,12.4,177611.77,3224.11,personal_loan,10643.9,24,auto,10.34,685,0.58,21,0,1,0,353,0.2259,0.0333,,paid,0,,
1b094a1f-ab79-eb7c-1075-9698aac54a78,482acaaa-a397-1614-20f2-137a00a6f0a7,2025-01-21,45,NY,employed,10.1,94223.61,2001.77,personal_loan,11524.36,24,business,5.39,741,0.296,19,0,3,0,318,0.2106,0.0646,,paid,0,,
30a3c992-7c1e-27c0-49b4-85b90dbeb304,4f5fd9c2-952c-26dc-3bc8-0b31d5a92104,2024-09-23,46,NH,employed,19.7,30665.02,859.26,personal_loan,13365.14,36,home_improvement,10.99,685,0.3,17,0,1,0,343,0.2622,0.1712,,paid,0,,
2e12461e-f10a-166d-4e2f-7fb5ec30e3a4,2f70bf33-11ec-79da-1a12-7e1a6be428bd,2023-04-18,32,NV,unemployed,0.0,23462.9,782.98,mortgage,163967.97,180,debt_consolidation,12.19,600,0.099,24,1,1,0,203,1.0498,1.0167,0.723,paid,0,,
25ebacd7-de9f-c805-2c44-d48104ba469c,0e4654d6-94e9-3a3e-0f58-330fe88a1c59,2023-10-21,23,CA,employed,0.0,28435.57,434.23,personal_loan,7708.89,24,debt_consolidation,17.15,566,0.238,4,1,0,0,10,0.4044,0.1611,,paid,0,,
6534cad0-f654-9fca-706c-9dfa645f67d7,7fe08b15-4a72-7ba9-34c6-990fd226e5a0,2023-08-12,52,NV,employed,10.9,47975.52,1229.36,auto,31919.71,72,auto,13.37,613,0.371,22,2,1,0,326,0.2635,0.1618,0.88,current,0,,
293869ac-2fc7-306e-4927-6e05f66cc47d,003f3b90-1a79-4d79-79f9-921393e97e7a,2025-03-28,73,SC,employed,14.5,154612.25,2669.15,personal_loan,19872.77,36,other,11.18,703,0.688,5,0,1,0,569,0.5366,0.0506,,default,1,0.542,18738.92
239ad25c-2623-865e-06d3-ab66f04aae93,028eb3c0-9261-99fd-3594-3aebe8750db3,2023-03-01,22,KS,employed,0.0,76929.42,2008.04,personal_loan,10041.16,36,debt_consolidation,13.24,614,0.236,24,1,0,0,141,0.1244,0.053,,paid,0,,
5e721aa7-87e5-9179-15e3-7130002c3da4,5bd64e37-adb2-0b63-7511-9689c2f298a6,2024-09-11,72,NM,student,0.0,13569.61,306.25,sm_business,69086.8,36,auto,14.21,611,0.566,4,4,1,0,599,2.0,2.0943,,default,1,0.582,45943.56
367dbf7b-7ecd-0eb6-3e57-81b8dd2411dd,5b3fdba5-bbda-481b-3b58-16b7707e93e3,2024-01-18,70,AK,employed,24.0,44464.9,562.62,personal_loan,14760.58,24,debt_consolidation,9.7,679,0.509,13,0,1,0,565,0.4143,0.1833,,paid,0,,
179cc3ce-8b97-d77b-0c1a-63c5616bb22d,7cba8448-a463-5580-0508-6ae41d07945d,2023-11-28,35,LA,self_employed,2.3,57098.33,1641.49,personal_loan,14891.06,60,other,27.26,558,0.105,19,1,1,0,154,0.4289,0.096,,default,1,0.623,11019.98
2c8bb0c2-4c1c-657d-79e4-812eaf65e5ea,7e527bd3-4a00-e9d6-6cb8-dcc40b1069b0,2024-01-06,57,MI,employed,11.4,32921.85,651.99,personal_loan,6070.39,36,business,13.96,647,0.369,1,0,2,0,355,0.2621,0.0756,,paid,0,,
4ebcc354-cd8f-4b43-30d2-0ce4acd87c33,76e72dc5-ea4b-9e5b-209c-61feb5f5c3af,2024-03-13,28,WY,employed,0.0,37454.15,757.28,auto,55778.65,60,business,12.82,608,0.482,1,1,2,0,132,0.6422,0.405,0.847,default,1,0.555,31081.13
04fb079f-57c7-5675-4cd5-c1401e5fe8e1,123c10ec-c18d-e5ec-54e7-83dbebe285f1,2024-07-24,65,HI,employed,16.5,82380.6,1408.14,auto,40658.97,72,business,11.77,695,0.331,21,0,1,0,426,0.1151,0.1151,0.953,current,0,,
0bcf192f-4fd0-095e-4572-1588e4d77f6d,4207ae9b-bddd-9ece-42f7-2af0db26cf46,2024-01-22,62,IN,unemployed,0.0,45955.17,896.89,auto,29851.96,36,medical,16.58,607,0.797,1,2,2,0,430,0.3885,0.2763,0.845,current,0,,
